0,8.0834,7.7273,7.6941,5.4311,7.7134,7.4712,7.4403,7.1547,6.9254,8.25,8.6419,8.0311,9.1759,7.3481,7.3294,7.5916,7.7604,7.4371,8.759,8.3739,8.3931,7.7304,8.7961,9.2413,7.1333,7.2315,7.3516,6.5101,8.0335,9.1857,7.3786,11.24,8.4999,7.4144,9.7801,8.2736,9.774,8.0842,7.6205,8.2304,12.182,11.164,9.9164,10.827,21.441,12.587,8.5882,9.6923,9.39,9.9027,8.6706,11.732,7.5561,9.264,9.3308,7.6863,7.8414,8.416,12.175,7.0393,9.8159
8.0834,0,8.3824,7.1331,7.8365,7.8684,5.9721,7.4527,6.9238,6.1937,6.7653,6.5312,6.6176,7.3103,7.0637,7.9569,7.8768,6.5926,7.3936,6.5483,6.7696,7.9592,7.2548,7.5296,7.2349,6.587,6.9807,6.5108,7.2354,7.1085,7.3914,7.8688,9.01,7.189,8.6221,8.5038,9.0321,9.3735,8.6061,8.8397,9.8956,10.877,10.012,9.853,9.8429,26.576,11.537,7.7732,10.708,11.199,11.127,8.4888,9.6631,7.5452,10.572,8.5652,8.4314,8.6058,9.6674,11.787,8.7053,8.4946
7.7273,8.3824,0,8.5516,7.1798,9.2074,8.4343,8.8853,8.4272,8.745,10.449,8.5525,9.9072,9.5652,7.4055,7.4452,7.598,7.6349,8.9882,10.4,7.5069,8.471,9.3615,8.5095,9.9077,8.5962,10.124,8.7108,8.1563,7.756,8.2808,8.0248,12.266,8.4568,8.2557,9.8924,10.657,8.3993,9.0083,9.545,9.0161,13.102,9.6173,8.1103,9.6239,24.939,13.265,9.2951,9.2934,9.563,8.9967,9.0821,10.605,8.1154,9.8716,8.7026,10.093,9.2415,10.415,13.884,8.3672,8.6841
7.6941,7.1331,8.5516,0,6.2745,6.632,7.7799,7.8504,7.1966,8.0046,9.0865,8.5498,9.5996,6.4291,7.5232,6.9643,5.6016,5.4064,9.254,9.0056,7.1994,6.1704,9.3891,6.8525,9.5393,6.7991,8.3863,7.4197,6.4854,7.6977,8.1001,7.4979,11.423,8.8014,8.0086,8.056,9.5941,8.8144,8.2283,8.4385,7.7275,12.576,7.6671,8.5385,10.907,22.645,13.17,9.6602,10.333,9.9571,8.7266,9.8037,10.492,7.1208,9.994,8.5737,8.1348,8.5925,9.2462,13.886,9.1797,9.7128
5.4311,7.8365,7.1798,6.2745,0,7.8991,7.4746,9.2288,8.1654,8.6554,9.5268,8.234,9.1986,8.6262,7.5088,7.3977,7.5805,7.636,9.4105,9.6706,7.6803,7.9148,9.126,7.9842,10.337,8.3162,8.9034,8.5851,7.279,8.9436,9.6475,8.0931,12.077,8.908,8.5264,10.073,10.205,9.5711,8.9322,9.7451,10.118,13.593,11.163,9.9853,12.24,22.801,13.715,10.08,11.329,10.978,10.992,9.7228,11.814,8.8329,11.149,9.3928,9.2209,9.9076,10.075,14.322,9.3189,11.111
7.7134,7.8684,9.2074,6.632,7.8991,0,10.816,9.2532,9.2148,9.3003,10.869,12.11,10.378,9.258,11,6.8024,9.656,9.4146,10.494,10.589,10.326,9.8053,9.8062,10.549,11.218,11.086,8.5085,8.618,9.5666,10.914,12.077,10.195,12.239,11.322,9.6825,9.8759,11.051,11.729,9.4924,9.9805,11.151,12.653,10.48,13.204,14.495,24.8,13.496,12.305,12.866,13.142,13.116,12.163,14.092,8.8272,11.05,10.661,9.5063,10.128,10.337,14.504,10.938,12.289
7.4712,5.9721,8.4343,7.7799,7.4746,10.816,0,8.1762,6.1852,5.77,6.8582,5.7153,6.0629,6.4725,5.6078,8.1761,7.2621,6.6934,6.8121,6.5975,7.8731,6.8869,7.5663,7.0568,7.7221,6,6.9896,7.3556,5.7503,5.6519,7.5672,9.6734,9.4163,6.7704,8.136,8.1978,7.9387,8.4685,9.2305,8.6982,9.3274,11.823,10.279,14.319,8.9837,31.183,12.29,7.3824,9.7902,9.9978,13.101,9.6043,13.841,7.355,9.7524,9.7943,8.8682,8.7131,10.412,12.244,8.6599,8.6758
7.4403,7.4527,8.8853,7.8504,9.2288,9.2532,8.1762,0,5.7442,7.1002,7.2464,10.886,6.809,8.379,12.839,7.3825,7.3118,7.4877,5.9691,6.6567,8.9926,10.097,6.5935,11.181,7.764,7.96,5.2217,5.3992,7.7767,9.6066,9.5728,11.786,7.8681,9.2922,7.3295,10.007,6.4242,13.491,6.7708,8.1625,13.733,9.9997,12.558,14.386,13.501,23.813,9.1999,10.41,14.756,12.42,13.508,12.789,15.859,5.9742,7.4024,9.059,8.3774,6.5509,8.6427,10.42,7.1426,10.656
7.1547,6.9238,8.4272,7.1966,8.1654,9.2148,6.1852,5.7442,0,6.2979,6.354,10.543,7.7153,8.7861,8.4835,8.3973,7.889,7.5261,6.9155,7.5437,7.6577,9.1371,7.1223,9.1745,7.8308,7.7657,6.8138,6.4863,5.7442,7.7035,8.4185,10.322,9.0943,9.0902,6.5081,8.9782,7.1809,11.29,6.8268,6.8692,10.092,11.232,12.21,11.857,10.957,33.865,11.803,8.7483,10.728,15.399,13.357,10.88,12.495,6.4075,8.9977,8.8693,8.2788,7.1625,9.1915,11.741,6.7621,10.246
6.9254,6.1937,8.745,8.0046,8.6554,9.3003,5.77,7.1002,6.2979,0,6.8957,9.1831,6.3647,8.5122,11.313,8.2447,7.7219,7.8738,5.8949,6.1172,7.1838,8.6294,5.8003,8.1715,7.7602,8.744,5.5477,6.1792,4.9289,7.777,11.493,9.8274,8.0919,10.53,7.188,9.2305,7.2901,11.029,7.4395,8.1317,13.397,10.481,12.014,14.624,14.211,25.444,10.396,10.69,14.039,13.96,13.82,10.96,15.572,6.6328,8.4595,8.5302,8.1015,7.5939,9.2905,10.55,9.1875,10.423
