0,8.8843,9.2508,8.2248,8.8537,8.7851,8.0578,8.6811,9.3366,8.8823,9.0596,8.9984,9.6426,9.1902,9.2833,7.9954,7.5627,9.1415,9.4365,12.108,8.465,8.9036,8.0486,8.2324,7.5852,13.936,8.2871,13.312,14.717,9.7003,9.2823,9.273,7.5358,9.3646,8.849,9.4237,12.829,9.8344,9.4609,9.2286,9.4063,10.113,12.024,10.869,10.465,8.6261,13.003,12.099,12.924,8.3033,14.068,9.2493,8.4654
8.8843,0,7.2221,6.8552,6.642,5.9807,6.5303,6.7249,6.3551,6.2342,5.7871,8.3706,6.8325,5.9266,6.426,6.2121,8.9023,6.5756,6.8102,11.213,6.8484,5.552,5.7621,6.3105,7.1736,10.926,6.2056,12.713,13.242,6.2445,7.999,5.8679,5.7836,7.1197,8.4743,6.8669,12.456,8.7507,6.9809,7.4984,8.0902,7.3275,9.4157,11.173,8.3069,7.1878,13.6,12.442,13.553,6.8079,13.371,8.4812,7.173
9.2508,7.2221,0,7.2345,6.7417,6.4849,7.4415,9.7519,6.89,8.8239,7.9235,9.0817,8.0872,6.6438,5.594,4.693,9.3727,7.076,6.2633,12.258,7.948,7.2292,5.7891,6.7389,7.7759,12.925,6.0292,13.414,14.423,9.6276,8.9549,6.9565,8.653,7.5665,8.8387,9.6808,12.526,10.443,9.6311,6.4506,8.0039,10.242,12.109,12.026,10.914,7.5737,14.371,13.193,13.784,7.7128,13.46,9.0676,9.2631
8.2248,6.8552,7.2345,0,6.4733,6.2858,6.6452,8.015,6.7902,8.7477,6.0915,8.2801,7.8058,5.842,7.1412,6.2414,7.0518,7.8516,7.114,11.049,7.4755,7.2161,6.1683,6.2481,6.6953,17.406,5.9064,14.263,16.029,8.1454,9.223,8.3385,7.4839,6.5502,8.4161,8.8291,12.358,10.459,10.785,7.4784,8.7074,12.261,14.314,11.433,13.475,8.8824,13.693,11.941,13.444,8.2725,12.95,8.6116,9.4233
8.8537,6.642,6.7417,6.4733,0,7.1194,7.3602,8.8624,7.0515,9.8123,6.7518,9.0438,7.0014,5.3117,6.318,6.3886,9.0799,7.7171,6.4101,16.53,8.5015,8.0503,6.2828,6.8151,7.42,18.085,6.0616,18.226,17.847,8.8226,8.787,7.5285,7.4951,6.5595,8.3629,9.1508,13.414,10.576,8.1445,6.3835,9.0639,8.107,9.2502,12.968,7.2494,9.4158,14.985,13.073,14.474,6.9247,14.266,9.5722,11.504
8.7851,5.9807,6.4849,6.2858,7.1194,0,7.4842,9.0594,7.2267,7.104,5.2359,6.9008,7.0109,4.8298,6.0822,5.8623,7.6011,6.9313,6.3486,14.783,6.6193,6.9251,4.8655,6.3437,7.4736,18.175,6.4234,17.225,17.592,8.2774,11.281,6.0564,6.7832,6.3773,8.8371,9.459,12.205,10.627,7.7263,7.225,7.5147,9.4694,9.9675,12.908,7.7573,9.6264,14.761,13.089,15.497,6.9493,13.286,11.167,9.2281
8.0578,6.5303,7.4415,6.6452,7.3602,7.4842,0,7.9086,6.2331,6.55,6.6809,6.9913,9.0018,8.2768,7.854,6.8629,6.2048,6.5043,8.548,12.496,6.2217,7.012,6.7358,4.849,5.837,14.792,6.7595,14.013,16.218,7.4706,7.0782,7.1567,7.3306,9.6872,7.1705,6.4341,10.998,7.6282,9.306,8.8971,9.0473,12.223,12.822,8.7855,12.69,7.5594,11.399,9.4856,12.156,8.7707,11.518,6.3202,7.526
8.6811,6.7249,9.7519,8.015,8.8624,9.0594,7.9086,0,9.023,7.6975,8.0303,7.7567,9.3064,8.061,9.0966,9.055,6.8052,8.6507,9.586,12.282,8.0535,8.4042,8.4132,7.6417,7.7084,23.084,9.3274,14.681,14.677,7.5394,7.6449,8.6462,7.0433,9.4966,8.5603,6.695,11.666,8.1439,7.1001,9.5188,9.2384,8.1468,9.4045,9.1105,8.9643,7.5942,12.539,10.968,12.523,8.5818,11.889,7.9891,7.8306
9.3366,6.3551,6.89,6.7902,7.0515,7.2267,6.2331,9.023,0,9.6364,5.663,7.4719,8.186,7.2503,6.7475,6.3864,7.4206,6.2193,6.9236,12.496,6.3103,6.444,6.7543,5.8395,6.9129,16.683,5.0922,14.954,16.434,6.8753,7.95,10.239,6.7464,9.3201,8.8305,11.219,11.657,10.674,12.48,9.7109,8.29,14.922,15.37,10.267,15.89,11.364,12.238,11.035,13.354,10.28,11.26,8.6757,10.642
8.8823,6.2342,8.8239,8.7477,9.8123,7.104,6.55,7.6975,9.6364,0,6.9738,6.6112,8.6037,8.2113,7.8933,7.5894,7.2455,7.0252,9.6923,12.015,6.4262,6.5933,7.5706,6.1835,6.3922,11.87,7.6757,12.953,13.694,5.3427,6.9774,7.1418,6.6597,8.6993,9.17,7.1916,11.002,8.9458,7.8589,9.09,7.8247,8.7817,10.129,8.9895,9.6925,7.8217,12.243,10.823,13.871,8.3226,11.368,8.2361,6.959
