0,8.2359,7.1298,7.6852,5.4311,7.7134,7.6681,7.4403,6.3988,6.9254,8.1877,8.2913,8.0311,8.9199,7.3481,7.3294,7.5916,7.7604,7.5317,8.7496,7.8128,8.3931,7.7304,8.7099,9.0548,7.1333,7.2315,7.3516,6.0801,7.8074,8.1591,7.7274,11.586,8.5361,7.2297,9.5562,8.5658,9.4992,7.4951,7.4253,8.2304,12.12,11.164,9.4547,9.8984,12.587,8.6745,8.7108,9.39,9.9027,8.1696,10.844,7.1303,9.264,8.7001,7.7799,7.3314,8.416,12.175,7.0393,9.8009,15.192,17.388
8.2359,0,8.019,6.984,8.0889,7.281,5.6643,7.2288,6.6721,5.9123,6.5601,6.5225,6.5134,7.1895,7.4785,7.6782,7.035,6.7005,7.1995,6.5567,8.408,7.7951,6.8281,7.2859,6.8784,9.6534,6.6959,6.2731,5.8623,6.5382,8.6313,11.135,9.1276,6.8151,8.5524,8.3361,8.1651,8.7381,8.5086,9.1302,10.26,11.734,10.806,14.435,10.44,11.596,8.0276,12.501,11.668,12.37,12.76,14.826,7.2718,9.6962,10.263,11.242,8.2525,10.411,11.729,8.7347,8.4447,19.103,22.681
7.1298,8.019,0,7.7826,5.9714,9.2635,7.9528,8.951,7.8147,8.7713,10.091,8.8771,9.8123,8.9527,7.0711,7.3758,7.7413,7.7542,8.1863,10.287,7.5528,8.6344,9.5567,8.6579,9.5779,8.0404,8.8654,8.7406,6.8067,7.2374,7.9369,9.2099,12.316,8.0565,7.7399,8.5046,10.711,8.1533,8.7806,8.5625,8.8138,12.738,9.3191,12.575,9.5085,12.958,9.2427,9.5891,10.376,9.2491,8.9659,13.116,7.7671,9.4999,8.4187,8.9413,8.2102,9.3424,13.426,7.815,8.4642,16.519,20.197
7.6852,6.984,7.7826,0,6.2745,6.3349,7.6611,7.427,7.3704,7.7641,9.2325,7.7829,9.3206,6.4291,7.5232,6.8193,5.379,5.4064,9.2345,8.9396,6.2265,6.1704,8.8517,6.8525,9.5384,6.7991,8.3122,7.4197,6.4854,7.6977,7.8025,7.485,12.113,9.0277,7.965,7.336,9.5904,8.3337,8.2283,8.1831,7.7275,12.576,7.6671,8.0166,9.5954,13.154,9.8786,9.2545,9.4906,8.7266,9.8037,9.8863,6.8067,9.8989,8.6172,7.86,8.4771,9.1849,13.886,8.8739,9.3404,15.839,18.074
5.4311,8.0889,5.9714,6.2745,0,7.8991,7.6929,9.1659,7.8884,8.4408,9.6251,8.234,9.1986,8.6262,7.5088,7.3977,7.5805,7.636,9.4673,9.6706,7.6803,7.9148,8.7608,7.7796,10.212,8.3162,8.6593,8.5851,7.279,8.2165,8.762,8.3653,12.589,8.862,8.2021,9.3048,10.554,9.4764,8.9322,9.5873,9.7205,13.593,11.046,10.197,11.675,13.692,9.8868,9.8323,10.978,9.9448,9.7228,11.014,8.5142,11.149,9.5104,9.5567,9.8075,9.935,14.322,9.1621,10.727,16.629,18.572
7.7134,7.281,9.2635,6.3349,7.8991,0,10.175,9.1531,9.7604,9.1014,10.489,11.579,10.177,9.0077,11,6.8024,8.5151,8.8494,10.816,10.542,10.125,9.8053,9.8062,10.494,11.325,11.05,8.3955,8.618,9.5666,10.914,11.986,10.534,12.199,11.254,9.8107,10.214,11.173,10.988,9.3935,9.7305,10.912,12.653,10.48,11.733,12.81,13.428,11.513,12.251,12.683,13.116,12.163,14.297,8.6865,11.027,10.725,8.8967,10.231,10.297,14.504,10.938,11.355,17.716,20.578
7.6681,5.6643,7.9528,7.6611,7.6929,10.175,0,7.6678,6.5769,5.7313,7.0727,5.766,6.0407,6.4756,5.6143,7.8527,7.2835,6.9169,7.0253,6.5568,8.2655,7.0893,7.4588,7.0558,7.3691,5.8211,6.9493,7.3203,5.5128,5.4993,9.6169,11.202,9.8038,6.9928,8.6502,7.5461,8.4155,8.6606,9.0163,8.7263,9.5368,11.403,10.405,14.389,10.295,12.331,7.3328,10.84,11.796,11.026,11.805,15.07,7.383,9.5122,11.196,9.2391,8.5491,10.287,12.039,8.3817,8.6926,17.85,23.002
7.4403,7.2288,8.951,7.427,9.1659,9.1531,7.6678,0,6.4602,5.5939,7.4324,10.108,6.809,8.1318,11.393,7.3825,7.3118,7.4225,6.3686,6.6216,8.9926,8.6715,6.5397,10.255,7.8063,7.96,5.0551,5.2948,7.3799,8.7522,9.589,12.138,8.2217,7.9825,6.4491,8.7237,6.7109,12.12,6.7708,7.9858,12.589,9.6576,12.334,13.805,13.011,9.1999,10.194,12.472,12.42,12.912,12.789,15.905,7.6236,7.0054,8.8056,7.2187,6.9468,8.6427,10.405,6.5739,9.1328,14.089,18.113
6.3988,6.6721,7.8147,7.3704,7.8884,9.7604,6.5769,6.4602,0,6.1927,6.3254,7.9255,8.3807,9.1478,7.8921,9.1501,8.0847,8.0664,6.2968,7.2207,6.1675,8.4863,7.7826,8.4809,8.1506,8.1123,6.741,6.6899,6.3163,7.8108,7.3234,7.9151,9.0264,8.511,6.9649,9.0327,6.8181,9.9616,6.0102,9.6052,8.5951,11.583,11.641,9.8914,9.3212,11.394,8.2953,10.022,9.9931,10.108,9.5281,9.671,6.7319,9.2118,8.0399,7.5196,6.8488,9.1312,11.618,6.672,9.5009,15.895,18.263
6.9254,5.9123,8.7713,7.7641,8.4408,9.1014,5.7313,5.5939,6.1927,0,6.8826,7.6171,6.3647,8.5122,10.498,8.0135,7.5844,7.6838,6.0789,6.1172,6.3046,8.6294,5.8003,7.9227,7.9598,8.1083,5.5477,6.1792,4.9289,7.777,10.986,9.6184,7.8672,9.663,6.7882,8.9635,7.2764,11.692,7.1426,8.2687,12.614,10.458,11.648,13.311,13.268,10.396,9.7077,13.941,13.131,13.82,10.96,16.044,6.9213,8.4595,8.6947,7.4023,7.6722,9.2905,10.55,7.1337,8.9675,15.189,18.295
