"","ID","species","dist_shape","dist_size_and_shape"
"1","DSCN3333","scriptus",0.181411500143164,183.907314912192
"2","DSCN3338","scriptus",0.104807425570511,108.494637469756
"3","DSCN5044","scriptus",0.233026745229381,242.496476914174
"4","DSCN5048","scriptus",0.199871607886751,206.546876960578
"5","DSCN5052","scriptus",0.229284239385449,230.567209664905
"6","DSCN5057","scriptus",0.191492481074219,195.887894511451
"7","DSCN5062","scriptus",0.0704059359083828,63.621025402088
"8","DSCN5066","scriptus",0.0990909566260706,102.203170720963
"9","DSCN5070","scriptus",0.173004691062188,179.808398587964
"10","DSCN5074","scriptus",0.163379030322835,1548.9598837746
"11","DSCN5078","scriptus",0.0781861065438457,82.0403033489132
"12","DSCN5082","scriptus",0.274681179424737,285.071849636471
"13","DSCN5086","scriptus",0.10606158617409,108.135970661121
"14","DSCN5090","scriptus",0.0887209084426236,93.7574358638522
"15","DSCN5094","scriptus",0.242992807648926,251.376719497039
"16","DSCN5099","scriptus",0.155786359519443,159.274676183483
"17","DSCN5103","scriptus",0.133566765863862,138.881889258244
"18","DSCN5108","scriptus",0.131067239298314,137.216054870975
"19","DSCN5113","scriptus",0.141902500135843,146.090371638126
"20","DSCN5118","scriptus",0.108192547034588,107.879301961987
"21","DSCN5122","scriptus",0.187662737380036,194.270812344696
"22","DSCN5126","scriptus",0.240717690342059,245.970012197153
"23","DSCN5130","scriptus",0.209991878204322,120.606834900115
"24","DSCN5134","scriptus",0.095907201765899,100.502385249903
"25","DSCN5138","scriptus",0.0642826954680765,69.9502438794669
"26","DSCN5142","scriptus",0.137857658062723,143.868756920952
"27","DSCN5146","scriptus",0.141926429718688,145.088771221837
"28","DSCN5150","scriptus",0.0906852818855315,102.886842359115
"29","DSCN5154","scriptus",0.119167545900671,123.751105791501
"30","DSCN5158","scriptus",0.235659629832312,238.359009474504
"31","IMG_1366","scriptus",0.130121973997618,136.234432990187
"32","IMG_1373","scriptus",0.231329264431538,236.950519634617
"33","IMG_1388","scriptus",0.15425915710486,150.132618269556
"34","IMG_1391","scriptus",0.0699613780476491,87.0070166539825
"35","IMG_1401","scriptus",0.158770358966002,164.5043434987
"36","IMG_1407","scriptus",0.188898528623237,169.533471253153
"37","IMG_1415","scriptus",0.125972022492869,146.541342527985
"38","IMG_1424","scriptus",0.127135815555598,133.171777086919
"39","M1169","pricei",0.140189151260567,146.81914735182
"40","M121A","pricei",0.154798572671214,161.608578394279
"41","M123A","pricei",0.169474793218855,177.245492114096
"42","M1256A","pricei",0.297377753955421,354.870998015631
"43","M125A","pricei",0.187851557235353,311.797460069854
"44","M126B","pricei",0.240620909005662,249.417022761346
"45","M130A","pricei",0.102657163793733,107.477445118019
"46","M134","pricei",1.19779448224238,171.447039781602
"47","M18B","pricei",0.177643741922395,182.631052921475
"48","M19B","pricei",0.236588654228956,378.516227236897
"49","M38B","pricei",0.128132519368138,134.312549636722
"50","M48B","pricei",0.191531094249656,200.072159336878
"51","M62","pricei",0.0881891217469818,96.8491530682632
"52","M6285A","pricei",0.237910042798186,248.728440200843
"53","M6359B","pricei",0.172607996275267,179.328930366042
"54","M6458A","pricei",0.190966003734478,199.399307510844
"55","M6474B","pricei",0.132617661924563,129.112327410524
"56","M6634A","pricei",0.202056742324121,211.853996614084
"57","M6769","pricei",0.156409550337037,162.092865893027
"58","M6780","pricei",0.143372564835829,143.505690413202
"59","M7041","pricei",0.187715110159638,186.962087223209
"60","M8821B","pricei",0.181302899839768,187.126089181051
"61","M9039A","pricei",0.128347138369259,133.809678400048
