"","ID","species","dist_shape","dist_size_and_shape"
"1","DSCN3334","scriptus",0.141270480937687,121.454885097139
"2","DSCN3339","scriptus",0.123477655826403,138.88939614262
"3","DSCN5049","scriptus",0.0797740197576389,96.1882934525629
"4","DSCN5053","scriptus",0.116262046710343,107.762670860241
"5","DSCN5058","scriptus",0.146477175406958,163.921654062885
"6","DSCN5063","scriptus",0.0760379881968867,87.3098410020982
"7","DSCN5067","scriptus",0.112260082185176,130.747813481561
"8","DSCN5071","scriptus",0.156404387438121,181.776204103874
"9","DSCN5075","scriptus",0.129418574763004,137.730273737217
"10","DSCN5079","scriptus",0.127844306022113,179.298541286956
"11","DSCN5083","scriptus",0.109292351695691,127.015727119778
"12","DSCN5087","scriptus",0.137476272214174,157.860844357507
"13","DSCN5091","scriptus",0.121535565512677,133.979171442776
"14","DSCN5095","scriptus",0.122575707915038,192.575747103517
"15","DSCN5100","scriptus",0.108512477583849,130.614612760286
"16","DSCN5111","scriptus",0.0896439939763,104.826290795617
"17","DSCN5115","scriptus",0.125343755137349,134.943275135217
"18","DSCN5119","scriptus",0.0875933614111849,101.875391087679
"19","DSCN5123","scriptus",0.126610282952017,144.530327572277
"20","DSCN5127","scriptus",0.253371503884668,261.680564652722
"21","DSCN5131","scriptus",0.105893000649962,123.304461384751
"22","DSCN5139","scriptus",0.117939770373029,123.833176197705
"23","DSCN5143","scriptus",0.0716874745586604,83.8950562577429
"24","DSCN5147","scriptus",0.0986620592684824,114.314992661628
"25","DSCN5151","scriptus",0.12134276453511,140.623847797232
"26","DSCN5155","scriptus",0.253622494861919,305.063289695854
"27","DSCN5159","scriptus",0.0962514337415964,114.020733593521
"28","IMG_1374","scriptus",0.358389140426259,369.517954027614
"29","IMG_1375","scriptus",0.378387393175373,271.86534902503
"30","IMG_1382","scriptus",0.14385808572223,136.39849028376
"31","IMG_1387","scriptus",0.136533423670939,153.529023345191
"32","IMG_1393","scriptus",0.125782086336437,216.766240013408
"33","IMG_1403","scriptus",0.193180148923261,214.092110878815
"34","IMG_1425","scriptus",0.122842456585897,136.940127646865
"35","M121B","pricei",0.145641072212596,163.733713524575
"36","M122A","pricei",0.127887139254524,142.677516897439
"37","M1256B","pricei",0.112828896641348,136.545775611025
"38","M128A","pricei",0.148444304309143,223.740786009121
"39","M133A","pricei",0.138944144342004,202.42677403261
"40","M137B","pricei",0.15806151637999,178.628397996707
"41","M18C","pricei",0.0779772918659707,87.68577576959
"42","M19C","pricei",0.209773268931676,253.808347348784
"43","M38C","pricei",0.266915878264083,285.287638552574
"44","M6303","pricei",0.153028124990189,172.309451617566
"45","M6477C","pricei",0.225433024627002,267.863484229547
"46","M6634B","pricei",0.139322254349185,160.222362468276
"47","M7442","pricei",0.10591073629421,130.616192676667
"48","M8461","pricei",0.156770864896017,189.612454061495
"49","M8661","pricei",0.0301811255204741,37.4107966182977
"50","M8780A","pricei",0.137290102499296,153.030865425936
"51","M8787","pricei",0.13437078441827,163.759432679075
"52","M8821C","pricei",0.135235604134825,154.14494749614
"53","M9039B","pricei",0.157799892446207,173.811412579775
