16.598,3.1892,37.055,4.4585,-3.5701,10.406,-16.233,11.961,25.063,-9.8374
33.858,11.514,-14.595,23.855,-2.3175,6.0513,6.2388,0.62791,5.9675,0.30629
-74.441,-19.482,-17.46,-9.1561,-24.291,17.459,-14.36,-10.702,-24.741,-7.2622
-0.98786,35.385,8.4901,21.519,7.4627,6.0949,30.131,8.7012,-12.417,-14.005
56.567,24.424,-29.861,-0.1913,22.415,9.6346,3.3905,-5.0608,-0.86038,16.425
29.142,-17.825,20.806,-26.795,15.777,6.2042,4.0253,3.541,8.2935,-1.4713
25.689,-48.361,14.129,-23.903,18.309,-29.995,1.2757,-6.27,-6.4677,-7.3851
111.35,1.599,-45.866,-4.2683,-7.0001,0.099724,5.7686,13.782,-0.92447,-22.589
92.442,-5.7772,-46.227,-0.01343,-7.83,-23.545,-25.778,12.011,-2.5009,6.708
-44.226,9.1823,-24.264,32.006,21.455,-16.036,-0.62281,-24.233,11.763,-2.9055
98.824,-10.836,-10.971,-4.4003,-41.748,14.383,22.331,-9.7209,8.8687,5.2299
24.596,-7.8061,18.742,7.7951,-10.967,15.71,-8.8991,-18.201,-6.3394,8.4605
-86.598,-16.287,-32.114,-8.8246,-16.658,-11.43,18.778,9.7722,16.023,18.44
-77.883,-13.061,-3.9867,17.402,-6.2134,-10.003,8.6564,27.931,-10.539,2.8955
-24.19,81.655,9.5934,-37.93,-24.051,-26.534,-1.4552,-4.3162,1.3307,-2.6511
46.535,-26.749,24.845,-6.2064,-6.0601,-4.893,14.4,9.0934,-2.3804,9.3251
-77.003,-21.789,-38.281,-16.572,-7.4923,14.218,-0.88642,-0.41487,19.048,-17.318
1.3221,9.3187,12.899,27.969,-16.524,2.2748,-25.345,14.753,3.496,3.7477
28.417,-24.374,7.8559,32.589,-33.841,-34.758,8.7293,-11.309,6.1478,-10.669
